"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"K3";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
2;",,,,,,,,,,,,,,,,,";"buzzardLabel";18;"";;;
3;"R2";"0402R";1;"330R";;;
4;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
5;"C1,C2";"0603C";2;"22pF";;;
6;"K2,K1";"HEADER_MALE_6X1";2;"HEADER_MALE_6X1";;;
7;"C3,C5";"0603C";2;"2.2uF";;;
8;"JP1";"SMD_JUMPER";1;"SMD_JUMPER";;;
9;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
10;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
11;"U3";"SOICâˆ’8";1;"ATA6561-GAQW-N";;;
12;"G***";"Logo-Front-Soldered-5mm";1;"LOGO";;;
13;"X1";"KRISTAL_3225__4_PAD";1;"40MHz";;;
14;"C6,C4";"0603C";2;"0.1uF";;;
15;"D1";"0402LED";1;"purple";;;
16;"U2";"SOIC-14";1;"MCP2518FD";;;
17;"REF**";"Logo-Back-SolderedFULL-13mm";1;"Logo-Front-SolderedFULL-13mm";;;
18;"U1";"SOT-23-5";1;"SE5218";;;
19;"R1";"0603R";1;"120R";;;
20;"JP2";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
21;"";"Version1.0.0.";1;"";;;
